Reaction,url,KOs,Rule,Notes,Unclear,effector,anchor,auxiliary,carrier,pts,subunit,chain,reductase component,orthology
R03332,https://www.genome.jp/dbget-bin/www_bget?rn:R03332,"K05859,K16619,K05861,K05857,K01114,K05860,K05858,K19006,K01116,K01771","K01114,K01771,K16619","Only kept monomeric isozymes, removed higher eukaroyte multimers because mapping is unclear",Manually reviewed by JG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K01114': 'phospholipase C [EC:3.1.4.3]',
 'K01116': 'phosphatidylinositol phospholipase C, gamma-1 [EC:3.1.4.11]',
 'K01771': '1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]',
 'K05857': 'phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]',
 'K05858': 'phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]',
 'K05859': 'phosphatidylinositol phospholipase C, gamma-2 [EC:3.1.4.11]',
 'K05860': 'phosphatidylinositol phospholipase C, epsilon [EC:3.1.4.11]',
 'K05861': 'phosphatidylinositol phospholipase C, zeta [EC:3.1.4.11]',
 'K16619': 'phospholipase C / alpha-toxin [EC:3.1.4.3]',
 'K19006': 'phosphatidylinositol phospholipase C, eta [EC:3.1.4.11]'}"
R03408,https://www.genome.jp/dbget-bin/www_bget?rn:R03408,"K07415,K07412,K07413,K17689,K17690,K17691,K07409,K07424,K07414,K07408","K07415,K07412,K07413,K17689,K17690,K17691,K07409,K07424,K07414,K07408",,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K07408': 'cytochrome P450 family 1 subfamily A1 [EC:1.14.14.1]',
 'K07409': 'cytochrome P450 family 1 subfamily A2 [EC:1.14.14.1]',
 'K07412': 'cytochrome P450 family 2 subfamily B [EC:1.14.14.1]',
 'K07413': 'cytochrome P450 family 2 subfamily C [EC:1.14.14.1]',
 'K07414': 'cytochrome P450 family 2 subfamily D [EC:1.14.14.1]',
 'K07415': 'cytochrome P450 family 2 subfamily E1 [EC:1.14.14.-]',
 'K07424': 'cytochrome P450 family 3 subfamily A [EC:1.14.14.1]',
 'K17689': 'cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 '
           '1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]',
 'K17690': 'cytochrome P450 family 3 subfamily A5 [EC:1.14.14.1]',
 'K17691': 'cytochrome P450 family 3 subfamily A7 [EC:1.14.14.1]'}"
R03560,https://www.genome.jp/dbget-bin/www_bget?rn:R03560,"K16245,K16249,K16243,K16246,K16244,K16242",K16245+K16249+K16243+K16246+K16244+K16242,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K16242': 'phenol/toluene 2-monooxygenase (NADH) P3/A3 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16243': 'phenol/toluene 2-monooxygenase (NADH) P1/A1 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16244': 'phenol/toluene 2-monooxygenase (NADH) P2/A2 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16245': 'phenol/toluene 2-monooxygenase (NADH) P4/A4 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16246': 'phenol/toluene 2-monooxygenase (NADH) P5/A5 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16249': 'phenol/toluene 2-monooxygenase (NADH) P0/A0'}"
R03562,https://www.genome.jp/dbget-bin/www_bget?rn:R03562,"K15763,K15764,K15761,K15762,K15760,K15765",K15763+K15764+K15761+K15762+K15760+K15765,,Reviewed by JG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K15760': 'toluene monooxygenase system protein A [EC:1.14.13.236 1.14.13.-]',
 'K15761': 'toluene monooxygenase system protein B [EC:1.14.13.236 1.14.13.-]',
 'K15762': 'toluene monooxygenase system ferredoxin subunit',
 'K15763': 'toluene monooxygenase system protein D [EC:1.14.13.236 1.14.13.-]',
 'K15764': 'toluene monooxygenase system protein E [EC:1.14.13.236 1.14.13.-]',
 'K15765': 'toluene monooxygenase electron transfer component [EC:1.18.1.3]'}"
R03608,https://www.genome.jp/dbget-bin/www_bget?rn:R03608,"K16245,K16243,K16246,K16242,K16244,K16249",K16245+K16243+K16246+K16242+K16244+K16249,,Reviewed by JG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K16242': 'phenol/toluene 2-monooxygenase (NADH) P3/A3 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16243': 'phenol/toluene 2-monooxygenase (NADH) P1/A1 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16244': 'phenol/toluene 2-monooxygenase (NADH) P2/A2 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16245': 'phenol/toluene 2-monooxygenase (NADH) P4/A4 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16246': 'phenol/toluene 2-monooxygenase (NADH) P5/A5 [EC:1.14.13.244 '
           '1.14.13.243]',
 'K16249': 'phenol/toluene 2-monooxygenase (NADH) P0/A0'}"
R03905,https://www.genome.jp/dbget-bin/www_bget?rn:R03905,"K09482,K02435,K02433,K02434,K03865,K03330","K02435+K02433+K02434,K03865+K03330+K09482",,Reviewed by JG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K02433': 'aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A '
           '[EC:6.3.5.6 6.3.5.7]',
 'K02434': 'aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B '
           '[EC:6.3.5.6 6.3.5.7]',
 'K02435': 'aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C '
           '[EC:6.3.5.6 6.3.5.7]',
 'K03330': 'glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]',
 'K03865': 'glutamyl-tRNA(Gln) amidotransferase subunit F [EC:6.3.5.7]',
 'K09482': 'glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]'}"
R07644,https://www.genome.jp/dbget-bin/www_bget?rn:R07644,"K01252,K02363,K02364,K02362",K01252+K02363+K02364+K02362,,Reviewed by JG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"{'K01252': 'bifunctional isochorismate lyase / aryl carrier protein '
           '[EC:3.3.2.1 6.3.2.14]',
 'K02362': 'enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]',
 'K02363': '2,3-dihydroxybenzoate-AMP ligase [EC:6.3.2.14 2.7.7.58]',
 'K02364': 'enterobactin synthetase component F [EC:6.3.2.14]'}"
R08034,https://www.genome.jp/dbget-bin/www_bget?rn:R08034,"K00198,K00196,K00189,K23548,K23549,K00171,K00170,K00169,K06281,K00172,K06282",,Flagged for removal,Reviewed by JG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K00169': 'pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]',
 'K00170': 'pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]',
 'K00171': 'pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]',
 'K00172': 'pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]',
 'K00189': '2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit '
           '[EC:1.2.7.7 1.2.7.1]',
 'K00196': 'anaerobic carbon-monoxide dehydrogenase iron sulfur subunit',
 'K00198': 'anaerobic carbon-monoxide dehydrogenase catalytic subunit '
           '[EC:1.2.7.4]',
 'K06281': 'hydrogenase large subunit [EC:1.12.99.6]',
 'K06282': 'hydrogenase small subunit [EC:1.12.99.6]',
 'K23548': 'uptake hydrogenase small subunit [EC:1.12.99.6]',
 'K23549': 'uptake hydrogenase large subunit [EC:1.12.99.6]'}"
R08872,https://www.genome.jp/dbget-bin/www_bget?rn:R08872,"K12911,K12912,K12913",K12911+K12912+K12913,,Reviewed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K12911': 'peptide synthetase PhsA',
 'K12912': 'peptide synthetase PhsB',
 'K12913': 'peptide synthetase PhsC'}"
R09748,https://www.genome.jp/dbget-bin/www_bget?rn:R09748,"K23462,K22393,K23470,K00484,K15245,K22394,K16902","K23462,K23470,K00484,K15245,K16902,K22393+K22394",,Reviewed by JG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"{'K00484': 'flavin reductase (NADH) [EC:1.5.1.36]',
 'K15245': 'flavin reductase [EC:1.5.1.37]',
 'K16902': 'FAD reductase [NAD(P)H] [EC:1.5.1.45]',
 'K22393': 'flavin reductase (NADH) subunit 1 [EC:1.5.1.36]',
 'K22394': 'flavin reductase (NADH) subunit 2 [EC:1.5.1.36]',
 'K23462': 'flavin-dependent trigonelline monooxygenase, reductase component '
           '[EC:1.5.1.36]',
 'K23470': '4-hydroxyphenylacetate 3-hydroxylase, reductase component '
           '[EC:1.5.1.36]'}"
R09799,https://www.genome.jp/dbget-bin/www_bget?rn:R09799,"K20934,K20933,K20932",K20934+K20933+K20932,Described as a 3-gene complex in https://www.nature.com/articles/nature104533,Reviewed by LML,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K20932': 'hydrazine synthase subunit [EC:1.7.2.7]',
 'K20933': 'hydrazine synthase subunit [EC:1.7.2.7]',
 'K20934': 'hydrazine synthase subunit [EC:1.7.2.7]'}"
R10952,https://www.genome.jp/dbget-bin/www_bget?rn:R10952,"K05857,K01116,K05858,K05859,K05860,K05861,K19006","K05857,K01116,K05858,K05859,K05860,K05861,K19006",,Reviewed by LML,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K01116': 'phosphatidylinositol phospholipase C, gamma-1 [EC:3.1.4.11]',
 'K05857': 'phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]',
 'K05858': 'phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]',
 'K05859': 'phosphatidylinositol phospholipase C, gamma-2 [EC:3.1.4.11]',
 'K05860': 'phosphatidylinositol phospholipase C, epsilon [EC:3.1.4.11]',
 'K05861': 'phosphatidylinositol phospholipase C, zeta [EC:3.1.4.11]',
 'K19006': 'phosphatidylinositol phospholipase C, eta [EC:3.1.4.11]'}"
R11743,https://www.genome.jp/dbget-bin/www_bget?rn:R11743,"K00203,K11261,K11260,K00202,K00205,K00204","K00203+K11261+K00202+K00205, K00203+K11261+K00202+K00204, K00203+K11261+K00202+K11260",,Reviewed by JG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K00202': 'formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]',
 'K00203': 'formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]',
 'K00204': '4Fe-4S ferredoxin',
 'K00205': '4Fe-4S ferredoxin',
 'K11260': '4Fe-4S ferredoxin',
 'K11261': 'formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]'}"
R12056,https://www.genome.jp/dbget-bin/www_bget?rn:R12056,"K21780,K21781,K12719,K12720","K21780+K21781,K12719+K12720",,Review by LML,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"{'K12719': 'L-proline---[L-prolyl-carrier protein] ligase [EC:6.2.1.53]',
 'K12720': 'peptidyl carrier protein',
 'K21780': 'L-proline---[L-prolyl-carrier protein] ligase [EC:6.2.1.53]',
 'K21781': 'peptidyl carrier protein'}"
R10960,https://www.genome.jp/dbget-bin/www_bget?rn:R10960,"K15886,K05551,K05553,K05552","K15886,K05551,K05552",,deleted carrier protein,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"{'K05551': 'minimal PKS ketosynthase (KS/KS alpha) [EC:2.3.1.- 2.3.1.260 '
           '2.3.1.235]',
 'K05552': 'minimal PKS chain-length factor (CLF/KS beta) [EC:2.3.1.- '
           '2.3.1.260 2.3.1.235]',
 'K05553': 'minimal PKS acyl carrier protein',
 'K15886': 'multifunctional cyclase / dehydratase / O-methyltransferase '
           '[EC:2.3.1.235]'}"
R02738,https://www.genome.jp/dbget-bin/www_bget?rn:R02738,"K02778,K02791,K20118,K02777,K02779","K02778,K02791,K20118,K02777,K02779",,Reviewed by JG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"{'K02777': 'sugar PTS system EIIA component [EC:2.7.1.-]',
 'K02778': 'glucose PTS system EIIB component [EC:2.7.1.199]',
 'K02779': 'glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]',
 'K02791': 'maltose/glucose PTS system EIICB component [EC:2.7.1.199 '
           '2.7.1.208]',
 'K20118': 'glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]'}"
R06506,https://www.genome.jp/dbget-bin/www_bget?rn:R06506,"K15998,K19698",K15998,removed auxillary protein,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K15998': 'TDP-megosamine glycosyltransferase',
 'K19698': 'TDP-megosamine glycosyltransferase auxiliary protein'}"
R06684,https://www.genome.jp/dbget-bin/www_bget?rn:R06684,"K15952,K15951",K15951,removed auxillary protein,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K15951': 'glycosyltransferase [EC:2.4.1.-]',
 'K15952': 'glycosyltransferase auxiliary protein'}"
R09331,https://www.genome.jp/dbget-bin/www_bget?rn:R09331,"K15947,K15946",K15946,removed auxillary protein,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K15946': 'aklavinone 7-alpha-L-rhodosaminyltransferase [EC:2.4.1.326]',
 'K15947': 'aklavinone 7-alpha-L-rhodosaminyltransferase auxiliary protein'}"
R03533,https://www.genome.jp/dbget-bin/www_bget?rn:R03533,"K17220,K17219,K17221",K17220+K17219,removed membrane anchor,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K17219': 'sulfur reductase molybdopterin subunit',
 'K17220': 'sulfur reductase FeS subunit',
 'K17221': 'sulfur reductase membrane anchor'}"
R05499,https://www.genome.jp/dbget-bin/www_bget?rn:R05499,"K21647,K21648",K21647,removed membrane anchor,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K21647': 'tetrachloroethene reductive dehalogenase [EC:1.21.99.5]',
 'K21648': 'tetrachloroethene reductive dehalogenase membrane anchor'}"
R05500,https://www.genome.jp/dbget-bin/www_bget?rn:R05500,"K21647,K21648",K21647,removed membrane anchor,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K21647': 'tetrachloroethene reductive dehalogenase [EC:1.21.99.5]',
 'K21648': 'tetrachloroethene reductive dehalogenase membrane anchor'}"
R05501,https://www.genome.jp/dbget-bin/www_bget?rn:R05501,"K21647,K21648",K21647,removed membrane anchor,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K21647': 'tetrachloroethene reductive dehalogenase [EC:1.21.99.5]',
 'K21648': 'tetrachloroethene reductive dehalogenase membrane anchor'}"
R05444,https://www.genome.jp/dbget-bin/www_bget?rn:R05444,"K22362,K22359,K22360,K22361,K22358,K22356,K22357,K22355,K22354,K22353","K22362+K22359+K22360+K22358+K22357,K22354+K22353+K22356",removed effector and coupling proteins,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"{'K22353': 'alkene monooxygenase alpha subunit [EC:1.14.13.69]',
 'K22354': 'alkene monooxygenase beta subunit [EC:1.14.13.69]',
 'K22355': 'alkene monooxygenase coupling protein',
 'K22356': 'alkene monooxygenase reductase',
 'K22357': 'alkene monooxygenase alpha subunit [EC:1.14.13.69]',
 'K22358': 'alkene monooxygenase beta subunit [EC:1.14.13.69]',
 'K22359': 'alkene monooxygenase gamma subunit [EC:1.14.13.69]',
 'K22360': 'alkene monooxygenase ferredoxin subunit',
 'K22361': 'alkene monooxygenase effector subunit',
 'K22362': 'alkene monooxygenase ferredoxin reductase component [EC:1.18.1.3]'}"
